atom_id,rule_type,legal_level,article_reference,who,how,when,what,content_original,is_ambiguous,review_reason,source_document,specific_clause,business_categories,related_scenarios,parameters,where,reconstructed_text,bert_similarity_score
YZ-PSM-OBL-00001,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第一段,银行业金融机构（银行）,仅允许开立一个,自2016年12月1日起,同一个人开立的I类银行结算账户,自2016年12月1日起，银行业金融机构（以下简称银行）为个人开立银行结算账户的，同一个人在同一家银行（以法人为单位，下同）只能开立一个I类户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']","['个人账户开立', '账户分类管理']",,同一法人银行内,银行业金融机构（银行） 自2016年12月1日起 同一法人银行内 仅允许开立一个 同一个人开立的I类银行结算账户,0.9373428821563721
YZ-PSM-OBL-00002,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第一段,银行业金融机构（银行）,必须开立II类户或III类户,自2016年12月1日起,已开立I类户后新开户的个人银行结算账户,已开立I类户，再新开户的，应当开立II类户或III类户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']","['个人账户开立', '账户分类管理']",,同一法人银行内,银行业金融机构（银行） 自2016年12月1日起 同一法人银行内 必须开立II类户或III类户 已开立I类户后新开户的个人银行结算账户,0.7605195641517639
YZ-PSM-OBL-00003,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第一段,银行业金融机构（银行）,实现免费,自本通知发布之日起三个月内,异地手续费,银行对本银行行内异地存取现、转账等业务，收取异地手续费的，应当自本通知发布之日起三个月内实现免费。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,['支付结算'],['异地业务收费'],,本银行行内异地存取现、转账等业务,银行业金融机构（银行） 自本通知发布之日起三个月内 本银行行内异地存取现、转账等业务 实现免费 异地手续费,0.9531400203704834
YZ-PSM-OBL-00004,OBL_ONGOING,L3_DEPT_RULE,一、（一）第二段,银行业金融机构（银行）,进行摸排清理；要求存款人作出说明；核实开户合理性,2016年11月30日前已完成多I类户开立的存量情形下，于2016年11月30日后启动并持续开展,开户数量较多的情况,个人于2016年11月30日前在同一家银行开立多个I类户的，银行应当对同一存款人开户数量较多的情况进行摸排清理，要求存款人作出说明，核实其开户的合理性。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']","['存量账户清理', '开户合理性核查']",,对同一存款人名下多个I类户,银行业金融机构（银行） 2016年11月30日前已完成多I类户开立的存量情形下，于2016年11月30日后启动并持续开展 对同一存款人名下多个I类户 进行摸排清理；要求存款人作出说明；核实开户合理性 开户数量较多的情况,0.9098972082138062
YZ-PSM-OBL-00005,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第二段,银行业金融机构（银行）,引导撤销或归并；或采取降低账户类别等措施,核实后确认开户不合理时,存款人名下相关I类账户,对于无法核实开户合理性的，银行应当引导存款人撤销或归并账户，或者采取降低账户类别等措施，使存款人运用账户分类机制，合理存放资金，保护资金安全。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']",['不合理开户处置'],,对无法核实开户合理性的I类户,银行业金融机构（银行） 核实后确认开户不合理时 对无法核实开户合理性的I类户 引导撤销或归并；或采取降低账户类别等措施 存款人名下相关I类账户,0.861071765422821
YZ-PSM-OBL-00006,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第三段,非银行支付机构（支付机构）,仅允许开立一个,自2016年12月1日起,同一个人开立的III类支付账户,自2016年12月1日起，非银行支付机构（以下简称支付机构）为个人开立支付账户的，同一个人在同一家支付机构只能开立一个III类账户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']",['个人支付账户开立'],,同一家支付机构内,非银行支付机构（支付机构） 自2016年12月1日起 同一家支付机构内 仅允许开立一个 同一个人开立的III类支付账户,0.9264345765113831
YZ-PSM-OBL-00007,OBL_MANDATORY,L3_DEPT_RULE,一、（一）第三段,非银行支付机构（支付机构）,完成清理：联系开户人确认需保留账户；其余账户降低类别或撤并,2016年11月30日前,开户人名下多个支付账户,支付机构应当于2016年11月30日前完成存量支付账户清理工作，联系开户人确认需保留的账户，其余账户降低类别管理或予以撤并；,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']",['存量支付账户清理'],,全部存量个人支付账户,非银行支付机构（支付机构） 2016年11月30日前 全部存量个人支付账户 完成清理：联系开户人确认需保留账户；其余账户降低类别或撤并 开户人名下多个支付账户,0.9457426071166992
YZ-PSM-EVT-00008,EVT_TRIGGER,L3_DEPT_RULE,一、（一）第三段,非银行支付机构（支付机构）,保留使用频率较高和金额较大的账户；后续可依申请变更,开户人未按规定时间确认账户时,开户人名下多个支付账户,开户人未按规定时间确认的，支付机构应当保留其使用频率较高和金额较大的账户，后续可根据其申请进行变更。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '反电信诈骗']",['未确认账户处置'],,存量支付账户清理过程中,非银行支付机构（支付机构） 开户人未按规定时间确认账户时 存量支付账户清理过程中 保留使用频率较高和金额较大的账户；后续可依申请变更 开户人名下多个支付账户,0.9036222696304321
YZ-PSM-PRO-00009,PRO_FORBIDDEN,L3_DEPT_RULE,一、（一）第四段,银行和支付机构,中止所有业务,自2017年1月1日起，且经设区的市级及以上公安机关认定并纳入‘涉案账户’名单后,涉案账户开户人名下所有银行账户和支付账户,自2017年1月1日起，对于不法分子用于开展电信网络新型违法犯罪的作案银行账户和支付账户，经设区的市级及以上公安机关认定并纳入电信网络新型违法犯罪交易风险事件管理平台“涉案账户”名单的，银行和支付机构中止该账户所有业务。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '反电信诈骗']",['涉案账户业务中止'],,电信网络新型违法犯罪交易风险事件管理平台,银行和支付机构 自2017年1月1日起，且经设区的市级及以上公安机关认定并纳入‘涉案账户’名单后 电信网络新型违法犯罪交易风险事件管理平台 中止所有业务 涉案账户开户人名下所有银行账户和支付账户,0.949449360370636
YZ-PSM-OBL-00010,OBL_MANDATORY,L3_DEPT_RULE,第一部分第（三）条第一款,银行和支付机构,暂停非柜面业务（银行账户）、暂停所有业务（支付账户）,通知涉案账户开户人后3日内未重新核实身份,账户开户人名下其他银行账户、支付账户,银行和支付机构应当通知涉案账户开户人重新核实身份，如其未在3日内向银行或者支付机构重新核实身份的，应当对账户开户人名下其他银行账户暂停非柜面业务，支付账户暂停所有业务。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '反洗钱', '账户管理']","['涉案账户处置', '身份重新核实']",,账户管理系统、核心业务系统,银行和支付机构 通知涉案账户开户人后3日内未重新核实身份 账户管理系统、核心业务系统 暂停非柜面业务（银行账户）、暂停所有业务（支付账户） 账户开户人名下其他银行账户、支付账户,0.9371456503868103
YZ-PSM-OBL-00011,OBL_MANDATORY,L3_DEPT_RULE,第一部分第（三）条第二款,银行和支付机构,恢复业务,重新核实账户开户人身份后,除涉案账户外的其他账户,银行和支付机构重新核实账户开户人身份后，可以恢复除涉案账户外的其他账户业务；,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理']","['涉案账户恢复', '冒名开户销户']",,账户管理系统,银行和支付机构 重新核实账户开户人身份后 账户管理系统 恢复业务 除涉案账户外的其他账户,0.939465343952179
YZ-PSM-OBL-00012,OBL_MANDATORY,L3_DEPT_RULE,第一部分第（三）条第三款,账户开户人,出具被冒用身份开户并同意销户的声明,确认账户为他人冒名开立时,被冒用身份开立的账户,账户开户人确认账户为他人冒名开立的，应当向银行和支付机构出具被冒用身份开户并同意销户的声明，,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '身份核验']",['冒名开户销户'],,银行或支付机构柜台/线上身份核验通道,账户开户人 确认账户为他人冒名开立时 银行或支付机构柜台/线上身份核验通道 出具被冒用身份开户并同意销户的声明 被冒用身份开立的账户,0.9546372890472412
YZ-PSM-OBL-00013,OBL_MANDATORY,L3_DEPT_RULE,第一部分第（三）条第四款,银行和支付机构,予以销户,收到被冒用身份开户并同意销户的声明后,被冒用身份开立的账户,银行和支付机构予以销户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理']",['冒名开户销户'],,账户管理系统,银行和支付机构 收到被冒用身份开户并同意销户的声明后 账户管理系统 予以销户 被冒用身份开立的账户,0.7716896533966064
YZ-PSM-PRO-00014,PRO_FORBIDDEN,L3_DEPT_RULE,第二部分第（一）条,单位和个人及相关组织者,不得办理（暂停）,自2017年1月1日起,银行账户非柜面业务、支付账户所有业务,自2017年1月1日起，银行和支付机构对经设区的市级及以上公安机关认定的出租、出借、出售、购买银行账户（含银行卡，下同）或者支付账户的单位和个人及相关组织者，假冒他人身份或者虚构代理关系开立银行账户或者支付账户的单位和个人，5年内暂停其银行账户非柜面业务、支付账户所有业务，,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '反洗钱', '账户管理']","['买卖账户', '冒名开户']",,全国银行及支付机构账户开立与使用环节,单位和个人及相关组织者 自2017年1月1日起 全国银行及支付机构账户开立与使用环节 不得办理（暂停） 银行账户非柜面业务、支付账户所有业务,0.8580538630485535
YZ-PSM-PRO-00015,PRO_FORBIDDEN,L3_DEPT_RULE,第二部分第（一）条,银行和支付机构,3年内不得为其新开立账户,自2017年1月1日起,被惩戒单位和个人,3年内不得为其新开立账户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '反洗钱', '账户管理']",['新开户限制'],,新开户审核环节,银行和支付机构 自2017年1月1日起 新开户审核环节 3年内不得为其新开立账户 被惩戒单位和个人,0.8259252309799194
YZ-PSM-RPT-00016,RPT_DISCLOSURE,L3_DEPT_RULE,第二部分第（一）条,人民银行,移送并向社会公布,认定惩戒对象后,上述单位和个人信息,人民银行将上述单位和个人信息移送金融信用信息基础数据库并向社会公布。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['征信管理', '反洗钱']",['信息共享与公示'],,金融信用信息基础数据库、社会公示平台,人民银行 认定惩戒对象后 金融信用信息基础数据库、社会公示平台 移送并向社会公布 上述单位和个人信息,0.8668196797370911
YZ-PSM-OBL-00017,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（二）条,银行,及时向公安机关报案并将被冒用的身份证件移交公安机关,办理开户业务时发现个人冒用他人身份开立账户,冒用他人身份开立的账户及被冒用身份证件,加强对冒名开户的惩戒力度。银行在办理开户业务时，发现个人冒用他人身份开立账户的，应当及时向公安机关报案并将被冒用的身份证件移交公安机关。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '身份核验', '反洗钱']",['冒名开户报案'],,银行开户受理环节,银行 办理开户业务时发现个人冒用他人身份开立账户 银行开户受理环节 及时向公安机关报案并将被冒用的身份证件移交公安机关 冒用他人身份开立的账户及被冒用身份证件,0.8983969688415527
YZ-PSM-PRO-00018,PRO_FORBIDDEN,L3_DEPT_RULE,第二部分第（三）条第一款,银行和支付机构,不得为其开户,开户审核阶段,被全国企业信用信息公示系统列入‘严重违法失信企业名单’的单位；注册地址不存在或虚构经营场所的单位,建立单位开户审慎核实机制。对于被全国企业信用信息公示系统列入“严重违法失信企业名单”，以及经银行和支付机构核实单位注册地址不存在或者虚构经营场所的单位，银行和支付机构不得为其开户。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业开户管理']",['异常单位开户'],,单位开户尽职调查环节,银行和支付机构 开户审核阶段 单位开户尽职调查环节 不得为其开户 被全国企业信用信息公示系统列入‘严重违法失信企业名单’的单位；注册地址不存在或虚构经营场所的单位,0.9303265810012817
YZ-PSM-OBL-00019,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（三）条第二款,银行和支付机构,在3个月内暂停其业务，逐步清理,至少每季度排查后确认单位属严重违法企业,该单位银行账户,银行和支付机构应当至少每季度排查企业是否属于严重违法企业，情况属实的，应当在3个月内暂停其业务，逐步清理。,True,AMBIGUOUS_TEXT,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业账户管理', '风险监测']",['存量企业账户清理'],,企业客户风险监测系统,银行和支付机构 至少每季度排查后确认单位属严重违法企业 企业客户风险监测系统 在3个月内暂停其业务，逐步清理 该单位银行账户,0.9239612817764282
YZ-PSM-OBL-00020,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（四）条第一款,银行和支付机构,加强对单位开户意愿的核查,发现单位存在法定代表人/负责人对经营规模及业务背景不清楚、注册地与经营地均在异地等异常情况时,单位开户意愿,对存在法定代表人或者负责人对单位经营规模及业务背景等情况不清楚、注册地和经营地均在异地等异常情况的单位，银行和支付机构应当加强对单位开户意愿的核查。,True,AMBIGUOUS_TEXT,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业开户管理', '尽职调查']",['异地开户强化核验'],,单位开户尽职调查环节,银行和支付机构 发现单位存在法定代表人/负责人对经营规模及业务背景不清楚、注册地与经营地均在异地等异常情况时 单位开户尽职调查环节 加强对单位开户意愿的核查 单位开户意愿,0.95505291223526
YZ-PSM-OBL-00021,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（四）条第二款（银行侧）,银行,面签并留存视频、音频资料,开户初期,法定代表人或者负责人,银行应当对法定代表人或者负责人面签并留存视频、音频资料等，,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业开户管理', '面签留痕']",['法定代表人面签'],,银行营业网点或远程视频核验渠道,银行 开户初期 银行营业网点或远程视频核验渠道 面签并留存视频、音频资料 法定代表人或者负责人,0.7878014445304871
YZ-PSM-OBL-00022,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（四）条第二款（银行侧）,银行,原则上不开通，待后续了解后再审慎开通,开户初期,非柜面业务,开户初期原则上不开通非柜面业务，待后续了解后再审慎开通。,True,AMBIGUOUS_TEXT,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业账户管理']",['非柜面业务审慎开通'],,账户启用阶段,银行 开户初期 账户启用阶段 原则上不开通，待后续了解后再审慎开通 非柜面业务,0.9575647115707397
YZ-PSM-OBL-00023,OBL_MANDATORY,L3_DEPT_RULE,第二部分第（四）条第三款（支付机构侧）,支付机构,留存开户时的视频、音频资料,单位开户时,单位法定代表人或者负责人,支付机构应当留存单位法定代表人或者负责人开户时的视频、音频资料等。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '企业开户管理', '音视频留痕']",['法定代表人开户留证'],,支付机构开户受理流程,支付机构 单位开户时 支付机构开户受理流程 留存开户时的视频、音频资料 单位法定代表人或者负责人,0.8859804272651672
